2018-01-27 07:33:19
Trained game (first):               Breakout
Trained game (second):              SpaceInvaders
Learning rate:                      1.00E-05
Batch size:                         64
Memory size(replay):                1200000
Pretrained:                         False
Pretrained subnet 1:                modelParams/Breakout_final.model
Pretrained subnet 2:                modelParams/SpaceInvaders_final.model
Started training after k frames:    50000
Optimized after k frames:           1
Target net update after k frame:    10000

--------+-----------+----------------------+----------------------+----------------------+--------------------
Episode | Steps     |  50 games avg total  |  50 games avg game1  |  50 games avg game2  | best score total 
   2350 |    519263 |     (  15.3/  121.3) |     (   3.6/    3.6) |     (  11.7/  117.7) |  (  31.0/   484.0)
   2400 |    533986 |     (  16.3/  143.4) |     (   4.1/    4.1) |     (  12.2/  139.3) |  (  31.0/   484.0)
   2450 |    547166 |     (  15.0/  125.5) |     (   3.2/    3.4) |     (  11.8/  122.1) |  (  31.0/   484.0)
   2500 |    560721 |     (  15.2/  117.2) |     (   3.5/    3.5) |     (  11.7/  113.7) |  (  31.0/   484.0)
Saved model at episode 2500...
   2550 |    575263 |     (  16.2/  138.0) |     (   4.0/    4.1) |     (  12.2/  133.9) |  (  31.0/   484.0)
   2600 |    589464 |     (  16.2/  140.6) |     (   3.8/    4.0) |     (  12.4/  136.6) |  (  31.0/   484.0)
   2650 |    603563 |     (  15.9/  140.0) |     (   3.7/    3.8) |     (  12.2/  136.2) |  (  31.0/   484.0)
   2700 |    617299 |     (  15.6/  127.7) |     (   3.7/    3.7) |     (  11.9/  124.0) |  (  31.0/   484.0)
   2750 |    631677 |     (  17.3/  157.4) |     (   3.9/    3.9) |     (  13.4/  153.5) |  (  31.0/   484.0)
   2800 |    646306 |     (  16.9/  152.1) |     (   4.1/    4.1) |     (  12.9/  148.0) |  (  37.0/   484.0)
   2850 |    660585 |     (  16.7/  138.2) |     (   3.8/    3.9) |     (  12.8/  134.3) |  (  37.0/   484.0)
   2900 |    675448 |     (  17.9/  156.2) |     (   4.3/    4.4) |     (  13.6/  151.8) |  (  37.0/   484.0)
   2950 |    690997 |     (  18.9/  177.8) |     (   4.6/    4.8) |     (  14.3/  173.0) |  (  37.0/   484.0)
   3000 |    706223 |     (  18.2/  173.5) |     (   4.3/    4.5) |     (  13.8/  169.0) |  (  37.0/   484.0)
Saved model at episode 3000...
   3050 |    723425 |     (  20.0/  172.7) |     (   5.4/    5.4) |     (  14.6/  167.3) |  (  37.0/   484.0)
   3100 |    739807 |     (  20.9/  216.2) |     (   5.1/    5.1) |     (  15.8/  211.1) |  (  37.0/   496.0)
   3150 |    757025 |     (  20.9/  200.9) |     (   5.7/    6.1) |     (  15.2/  194.8) |  (  37.0/   496.0)
   3200 |    775672 |     (  22.3/  220.0) |     (   6.5/    6.6) |     (  15.9/  213.4) |  (  37.0/   507.0)
   3250 |    794550 |     (  23.6/  232.7) |     (   6.8/    7.3) |     (  16.8/  225.4) |  (  40.0/   510.0)
   3300 |    814734 |     (  23.8/  226.7) |     (   7.3/    7.8) |     (  16.4/  218.9) |  (  40.0/   510.0)
   3350 |    834021 |     (  23.8/  227.3) |     (   6.9/    7.1) |     (  16.9/  220.2) |  (  40.0/   510.0)
   3400 |    853144 |     (  24.1/  241.9) |     (   6.9/    7.3) |     (  17.1/  234.6) |  (  40.0/   510.0)
   3450 |    874286 |     (  26.8/  266.2) |     (   8.2/    8.6) |     (  18.7/  257.6) |  (  42.0/   578.0)
   3500 |    895379 |     (  26.0/  256.0) |     (   8.0/    8.6) |     (  18.1/  247.4) |  (  42.0/   578.0)
Saved model at episode 3500...
   3550 |    916570 |     (  26.1/  261.6) |     (   8.1/    8.7) |     (  18.0/  252.9) |  (  42.0/   578.0)
   3600 |    938445 |     (  27.4/  279.9) |     (   8.4/    8.9) |     (  19.0/  271.0) |  (  42.0/   578.0)
   3650 |    960816 |     (  27.3/  288.3) |     (   8.7/    9.9) |     (  18.6/  278.4) |  (  45.0/   578.0)
   3700 |    983307 |     (  28.1/  286.5) |     (   8.7/    9.5) |     (  19.4/  277.0) |  (  45.0/   578.0)
   3750 |   1004638 |     (  26.5/  270.6) |     (   8.2/    8.9) |     (  18.3/  261.7) |  (  45.0/   578.0)
